speech_id,president,party,year,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
1,John F. Kennedy,Democrat,1960,1.0,0.058,10722,16.726989079563182,38,0.003544114903935833,43,0.0040104458123484425,14,0.0013057265435553068,7,0.0006528632717776534,0,0.0,47,0.00438351053907853,58,0.005409438537586271,0,0.0
2,Joe Biden,Democrat,2021,0.9997,0.11,2397,11.253521126760564,24,0.010012515644555695,4,0.001668752607425949,10,0.004171881518564873,1,0.00041718815185648727,2,0.0008343763037129745,16,0.006675010429703796,8,0.003337505214851898,0,0.0
3,Bill Clinton,Democrat,1996,1.0,0.093,6310,17.52777777777778,13,0.0020602218700475437,56,0.008874801901743265,84,0.013312202852614897,38,0.006022187004754358,14,0.0022187004754358162,45,0.0071315372424722665,17,0.002694136291600634,10,0.001584786053882726
4,Ronald Reagan,Republican,1982,0.9999,0.108,4415,22.757731958762886,60,0.013590033975084938,14,0.0031710079275198188,0,0.0,1,0.00022650056625141563,2,0.00045300113250283127,31,0.007021517553793885,38,0.008607021517553794,1,0.00022650056625141563
5,James K. Polk,Democrat,1849,-0.9998,0.131,3312,44.75675675675676,14,0.004227053140096618,11,0.003321256038647343,2,0.0006038647342995169,0,0.0,2,0.0006038647342995169,104,0.03140096618357488,27,0.008152173913043478,0,0.0
6,Andrew Jackson,Democrat,1829,1.0,0.064,10492,34.741721854304636,41,0.003907739229889439,19,0.0018109035455585209,9,0.000857796416317194,2,0.00019062142584826535,1,9.531071292413267e-05,47,0.004479603507434236,24,0.002287457110179184,0,0.0
7,John F. Kennedy,Democrat,1961,0.9999,0.064,2999,24.785123966942148,14,0.004668222740913638,7,0.002334111370456819,0,0.0,2,0.0006668889629876625,1,0.00033344448149383126,19,0.006335445148382794,28,0.009336445481827277,2,0.0006668889629876625
8,Franklin D. Roosevelt,Democrat,1936,0.9999,0.058,3200,23.357664233576642,7,0.0021875,46,0.014375,14,0.004375,0,0.0,20,0.00625,2,0.000625,0,0.0,0,0.0
9,Warren G. Harding,Republican,1920,0.9868,0.105,557,21.423076923076923,15,0.026929982046678635,1,0.0017953321364452424,1,0.0017953321364452424,0,0.0,0,0.0,2,0.003590664272890485,0,0.0,1,0.0017953321364452424
10,George H. W. Bush,Republican,1992,0.999,0.085,1125,15.845070422535212,1,0.0008888888888888889,5,0.0044444444444444444,3,0.0026666666666666666,0,0.0,4,0.0035555555555555557,7,0.006222222222222222,10,0.008888888888888889,0,0.0
11,George H. W. Bush,Republican,1989,0.9957,0.075,769,18.30952380952381,5,0.006501950585175552,2,0.002600780234070221,1,0.0013003901170351106,0,0.0,0,0.0,7,0.009102730819245773,6,0.007802340702210663,0,0.0
12,Calvin Coolidge,Republican,1923,1.0,0.073,6694,18.239782016348773,23,0.0034359127576934568,41,0.006124887959366597,14,0.002091425156856887,8,0.0011951000896325067,8,0.0011951000896325067,33,0.00492978786973409,41,0.006124887959366597,6,0.00089632506722438
13,Ulysses S. Grant,Republican,1875,0.9663,0.06,405,33.75,3,0.007407407407407408,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0024691358024691358,0,0.0,0,0.0
14,Rutherford B. Hayes,Republican,1879,0.9997,0.07,4874,29.901840490797547,39,0.008001641362330735,3,0.0006155108740254411,1,0.0002051702913418137,0,0.0,1,0.0002051702913418137,59,0.01210504718916701,2,0.0004103405826836274,0,0.0
15,Chester A. Arthur,Republican,1881,0.9982,0.096,433,30.928571428571427,3,0.006928406466512702,1,0.0023094688221709007,2,0.004618937644341801,0,0.0,1,0.0023094688221709007,3,0.006928406466512702,2,0.004618937644341801,0,0.0
16,Andrew Johnson,Democrat,1865,0.8225,0.059,233,58.25,0,0.0,1,0.004291845493562232,0,0.0,0,0.0,0,0.0,4,0.017167381974248927,0,0.0,0,0.0
17,George H. W. Bush,Republican,1991,1.0,0.091,3951,17.253275109170307,28,0.007086813464945584,35,0.00885851683118198,11,0.0027841052898000505,5,0.0012655024044545685,6,0.0015186028853454822,32,0.008099215388509239,43,0.010883320678309289,0,0.0
18,Ronald Reagan,Republican,1981,0.9998,0.075,3418,19.64367816091954,2,0.0005851375073142189,110,0.03218256290228204,1,0.0002925687536571094,1,0.0002925687536571094,3,0.0008777062609713282,7,0.002047981275599766,7,0.002047981275599766,0,0.0
19,Jimmy Carter,Democrat,1981,0.9996,0.115,2167,21.88888888888889,23,0.010613751730503,2,0.0009229349330872173,3,0.0013844023996308261,1,0.00046146746654360867,5,0.0023073373327180432,7,0.003230272265805261,21,0.009690816797415782,0,0.0
20,Andrew Johnson,Democrat,1865,-0.0258,0.077,268,134.0,0,0.0,1,0.0037313432835820895,0,0.0,0,0.0,0,0.0,5,0.018656716417910446,0,0.0,5,0.018656716417910446
21,James K. Polk,Democrat,1845,1.0,0.069,4807,32.92465753424658,64,0.013313917204077387,15,0.0031204493447056377,6,0.001248179737882255,0,0.0,3,0.0006240898689411275,18,0.003744539213646765,24,0.00499271895152902,0,0.0
22,Lyndon B. Johnson,Democrat,1965,0.999,0.094,2646,21.0,12,0.0045351473922902496,1,0.0003779289493575208,3,0.0011337868480725624,0,0.0,1,0.0003779289493575208,18,0.006802721088435374,16,0.006046863189720333,0,0.0
23,Andrew Jackson,Democrat,1834,1.0,0.071,13339,41.81504702194357,43,0.003223629957268161,28,0.002099107879151361,2,0.00014993627708224006,1,7.496813854112003e-05,2,0.00014993627708224006,33,0.0024739485718569608,49,0.0036734387885148812,1,7.496813854112003e-05
24,Bill Clinton,Democrat,1995,1.0,0.082,9155,19.945533769063182,24,0.0026215182960131075,89,0.009721463681048608,85,0.009284543965046422,29,0.0031676679410158385,5,0.0005461496450027307,47,0.005133806663025669,27,0.002949208083014746,9,0.0009830693610049152
25,Theodore Roosevelt,Republican,1906,1.0,0.107,23607,35.822458270106225,70,0.0029652221798619053,113,0.004786715804634219,21,0.0008895666539585716,51,0.0021603761596136737,14,0.0005930444359723811,133,0.00563392214173762,59,0.0024992586944550346,6,0.0002541619011310205
26,George H. W. Bush,Republican,1989,1.0,0.049,2313,15.117647058823529,14,0.0060527453523562475,5,0.00216169476869866,7,0.0030263726761781237,2,0.0008646779074794639,2,0.0008646779074794639,9,0.0038910505836575876,14,0.0060527453523562475,0,0.0
27,Jimmy Carter,Democrat,1977,0.9999,0.05,4853,14.795731707317072,26,0.00535751081805069,10,0.0020605810838656502,8,0.00164846486709252,0,0.0,6,0.00123634865031939,26,0.00535751081805069,21,0.004327220276117865,3,0.000618174325159695
28,Grover Cleveland,Democrat,1896,1.0,0.068,15229,36.002364066193856,16,0.0010506270930461619,52,0.003414538052400026,13,0.0008536345131000065,5,0.0003283209665769256,6,0.0003939851598923107,50,0.003283209665769256,30,0.001969925799461554,14,0.0009192987064153917
29,Ronald Reagan,Republican,1984,1.0,0.068,4922,16.914089347079038,24,0.004876066639577408,66,0.013409183258837871,18,0.0036570499796830555,17,0.00345388053636733,8,0.0016253555465258025,45,0.00914262494920764,16,0.003250711093051605,1,0.0002031694433157253
30,Franklin D. Roosevelt,Democrat,1934,0.9999,0.053,2526,24.28846153846154,15,0.0059382422802850355,13,0.005146476642913698,4,0.001583531274742676,0,0.0,4,0.001583531274742676,6,0.0023752969121140144,3,0.0011876484560570072,0,0.0
31,George W. Bush,Republican,2003,-0.9989,0.195,1763,16.632075471698112,4,0.0022688598979013048,0,0.0,0,0.0,0,0.0,1,0.0005672149744753262,47,0.02665910380034033,26,0.01474758933635848,0,0.0
32,John F. Kennedy,Democrat,1961,0.9984,0.132,2099,24.694117647058825,12,0.005717008099094807,1,0.0004764173415912339,0,0.0,15,0.007146260123868509,1,0.0004764173415912339,23,0.01095759885659838,15,0.007146260123868509,0,0.0
33,Barack Obama,Democrat,2011,0.9999,0.07,4257,17.304878048780488,5,0.0011745360582569885,122,0.02865867982147052,19,0.004463237021376556,15,0.0035236081747709656,2,0.0004698144233027954,5,0.0011745360582569885,11,0.002583979328165375,0,0.0
34,George H. W. Bush,Republican,1990,0.9986,0.122,1123,14.776315789473685,2,0.0017809439002671415,36,0.032056990204808546,2,0.0017809439002671415,0,0.0,0,0.0,3,0.0026714158504007124,0,0.0,0,0.0
35,Benjamin Harrison,Republican,1893,0.9989,0.041,654,22.551724137931036,1,0.0015290519877675841,1,0.0015290519877675841,0,0.0,0,0.0,0,0.0,4,0.0061162079510703364,8,0.012232415902140673,0,0.0
