speech_id,party,sentiment_score,negativity_score,speech_length,avg_sentence_length,kw_democracy_count,kw_democracy_freq,kw_economy_count,kw_economy_freq,kw_welfare_health_count,kw_welfare_health_freq,kw_education_count,kw_education_freq,kw_environment_count,kw_environment_freq,kw_security_defense_count,kw_security_defense_freq,kw_foreign_policy_count,kw_foreign_policy_freq,kw_immigration_count,kw_immigration_freq
1,Republican,0.998,0.067,720,720.0,15,0.020833333333333332,0,0.0,0,0.0,0,0.0,0,0.0,3,0.004166666666666667,15,0.020833333333333332,0,0.0
2,Republican,0.9999,0.101,3817,3817.0,28,0.007335603877390621,29,0.007597589730154571,5,0.0013099292638197536,0,0.0,1,0.00026198585276395077,23,0.006025674613570867,57,0.014933193607545192,9,0.002357872674875557
3,Democrat,0.9991,0.037,1151,1151.0,3,0.0026064291920069507,20,0.01737619461337967,0,0.0,0,0.0,2,0.0017376194613379669,0,0.0,5,0.004344048653344918,0,0.0
4,Democrat,0.9993,0.1,2341,2341.0,8,0.0034173430158052115,5,0.0021358393848782574,1,0.00042716787697565144,2,0.0008543357539513029,0,0.0,34,0.014523707817172148,19,0.008116189662537377,0,0.0
5,Republican,0.9999,0.092,3809,3809.0,27,0.007088474665266474,28,0.0073510107639800475,4,0.0010501443948542925,0,0.0,1,0.00026253609871357313,19,0.004988185875557889,51,0.01338934103439223,7,0.0018377526909950119
6,Democrat,0.9989,0.054,629,629.0,1,0.001589825119236884,0,0.0,0,0.0,0,0.0,0,0.0,9,0.014308426073131956,3,0.0047694753577106515,0,0.0
7,Republican,1.0,0.033,2270,2270.0,0,0.0,4,0.001762114537444934,0,0.0,0,0.0,0,0.0,2,0.000881057268722467,0,0.0,2,0.000881057268722467
8,Democrat,0.999,0.061,908,908.0,3,0.003303964757709251,5,0.005506607929515419,15,0.016519823788546256,3,0.003303964757709251,1,0.0011013215859030838,2,0.0022026431718061676,0,0.0,0,0.0
9,Republican,0.9616,0.064,399,399.0,3,0.007518796992481203,0,0.0,0,0.0,0,0.0,0,0.0,1,0.002506265664160401,0,0.0,0,0.0
10,Democrat,0.9946,0.116,3425,3425.0,8,0.0023357664233576644,10,0.00291970802919708,6,0.0017518248175182481,1,0.00029197080291970805,4,0.0011678832116788322,35,0.010218978102189781,17,0.004963503649635037,0,0.0
11,Democrat,0.9998,0.071,2004,2004.0,32,0.015968063872255488,3,0.0014970059880239522,2,0.000998003992015968,23,0.011477045908183632,1,0.000499001996007984,7,0.003493013972055888,9,0.004491017964071856,0,0.0
12,Democrat,0.9998,0.078,3072,3072.0,4,0.0013020833333333333,18,0.005859375,5,0.0016276041666666667,0,0.0,2,0.0006510416666666666,6,0.001953125,3,0.0009765625,0,0.0
13,Democrat,0.4552,0.061,62,62.0,0,0.0,0,0.0,1,0.016129032258064516,3,0.04838709677419355,0,0.0,0,0.0,0,0.0,0,0.0
14,Republican,1.0,0.023,4162,4162.0,4,0.0009610764055742432,55,0.013214800576645843,2,0.0004805382027871216,0,0.0,5,0.001201345506967804,3,0.0007208073041806823,12,0.0028832292167227293,0,0.0
15,Democrat,0.9568,0.053,580,580.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.008620689655172414,0,0.0,0,0.0
16,Democrat,1.0,0.072,4920,4920.0,25,0.00508130081300813,30,0.006097560975609756,18,0.003658536585365854,25,0.00508130081300813,11,0.0022357723577235773,13,0.0026422764227642275,30,0.006097560975609756,1,0.0002032520325203252
17,Democrat,0.9997,0.03,1179,1179.0,3,0.002544529262086514,11,0.009329940627650551,1,0.0008481764206955047,0,0.0,0,0.0,2,0.0016963528413910093,0,0.0,0,0.0
18,Republican,1.0,0.087,9489,9489.0,9,0.0009484666455896301,28,0.0029507851196121826,11,0.0011592370112762146,2,0.00021077036568658446,1,0.00010538518284329223,5,0.0005269259142164611,7,0.0007376962799030457,0,0.0
19,Republican,0.9999,0.061,2603,2603.0,3,0.001152516327314637,2,0.000768344218209758,30,0.01152516327314637,1,0.000384172109104879,0,0.0,13,0.004994237418363427,0,0.0,13,0.004994237418363427
20,Republican,0.9954,0.065,522,522.0,7,0.013409961685823755,0,0.0,0,0.0,0,0.0,0,0.0,13,0.02490421455938697,15,0.028735632183908046,0,0.0
21,Democrat,-0.4094,0.183,100,100.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.02,0,0.0,0,0.0,0,0.0
22,Democrat,0.9997,0.047,1420,1420.0,6,0.004225352112676056,2,0.0014084507042253522,0,0.0,0,0.0,1,0.0007042253521126761,9,0.006338028169014085,10,0.007042253521126761,0,0.0
23,Democrat,1.0,0.065,10476,10476.0,41,0.003913707521954944,19,0.0018136693394425352,9,0.000859106529209622,2,0.00019091256204658267,1,9.545628102329134e-05,47,0.004486445208094693,24,0.002290950744558992,0,0.0
24,Republican,1.0,0.095,6820,6820.0,66,0.00967741935483871,22,0.0032258064516129032,4,0.0005865102639296188,1,0.0001466275659824047,6,0.0008797653958944282,51,0.007478005865102639,56,0.008211143695014663,10,0.001466275659824047
25,Democrat,0.9926,0.051,270,270.0,6,0.022222222222222223,0,0.0,0,0.0,1,0.003703703703703704,0,0.0,1,0.003703703703703704,2,0.007407407407407408,1,0.003703703703703704
26,Republican,0.9985,0.093,1113,1113.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0017969451931716084,0,0.0,0,0.0,0,0.0
27,Republican,0.9999,0.033,1453,1453.0,9,0.006194081211286993,2,0.0013764624913971094,12,0.008258774948382657,8,0.0055058499655884375,1,0.0006882312456985547,0,0.0,7,0.004817618719889883,0,0.0
28,Democrat,0.9999,0.069,3363,3363.0,5,0.0014867677668748143,61,0.018138566755872734,23,0.006839131727624145,11,0.0032708890871245913,1,0.0002973535533749628,6,0.001784121320249777,2,0.0005947071067499256,0,0.0
29,Democrat,0.5267,0.093,57,57.0,1,0.017543859649122806,0,0.0,2,0.03508771929824561,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
30,Republican,0.9741,0.012,206,206.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0048543689320388345,6,0.02912621359223301,0,0.0
31,Republican,1.0,0.093,10241,10241.0,20,0.0019529342837613514,25,0.0024411678547016894,9,0.0008788204276926081,9,0.0008788204276926081,6,0.0005858802851284055,14,0.001367053998632946,17,0.0016599941411971487,3,0.00029294014256420274
32,Republican,0.9998,0.075,6231,6231.0,86,0.01380195795217461,4,0.0006419515326592842,1,0.00016048788316482104,0,0.0,3,0.00048146364949446316,27,0.004333172845450169,14,0.0022468303643074948,2,0.0003209757663296421
33,Republican,0.9988,0.065,1198,1198.0,5,0.004173622704507512,11,0.009181969949916527,1,0.0008347245409015025,0,0.0,0,0.0,4,0.00333889816360601,5,0.004173622704507512,0,0.0
34,Democrat,0.9899,0.0,239,239.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0041841004184100415,5,0.02092050209205021,0,0.0
35,Republican,0.9999,0.049,1181,1181.0,6,0.005080440304826418,2,0.001693480101608806,6,0.005080440304826418,8,0.006773920406435224,0,0.0,1,0.000846740050804403,5,0.004233700254022015,0,0.0
36,Democrat,-0.7845,0.185,72,72.0,0,0.0,1,0.013888888888888888,1,0.013888888888888888,0,0.0,0,0.0,1,0.013888888888888888,1,0.013888888888888888,0,0.0
37,Republican,0.989,0.037,172,172.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.011627906976744186,0,0.0
38,Democrat,-0.1489,0.134,100,100.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.04,0,0.0,2,0.02,0,0.0
39,Democrat,-0.9983,0.135,1957,1957.0,9,0.004598875830352581,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0025549310168625446,9,0.004598875830352581,0,0.0
40,Republican,-0.9135,0.209,502,502.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,0.01593625498007968,6,0.01195219123505976,0,0.0
41,Republican,0.9996,0.098,8465,8465.0,9,0.00106320141760189,27,0.0031896042528056705,18,0.00212640283520378,18,0.00212640283520378,1,0.00011813349084465446,12,0.0014176018901358536,23,0.0027170702894270525,4,0.00047253396337861784
42,Republican,1.0,0.058,12110,12110.0,18,0.001486374896779521,17,0.0014037985136251033,8,0.0006606110652353427,14,0.0011560693641618498,22,0.0018166804293971925,43,0.003550784475639967,62,0.005119735755573906,5,0.00041288191577208916
43,Democrat,0.9927,0.1,1791,1791.0,4,0.002233389168062535,4,0.002233389168062535,0,0.0,0,0.0,3,0.0016750418760469012,38,0.02121719709659408,2,0.0011166945840312675,0,0.0
44,Republican,0.9976,0.073,851,851.0,12,0.01410105757931845,2,0.0023501762632197414,1,0.0011750881316098707,1,0.0011750881316098707,3,0.0035252643948296123,1,0.0011750881316098707,0,0.0,0,0.0
45,Democrat,0.9978,0.066,2140,2140.0,5,0.002336448598130841,4,0.001869158878504673,2,0.0009345794392523365,0,0.0,0,0.0,6,0.002803738317757009,0,0.0,1,0.00046728971962616824
46,Republican,0.4462,0.09,272,272.0,6,0.022058823529411766,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.003676470588235294
47,Republican,1.0,0.054,6707,6707.0,12,0.0017891754882958103,16,0.0023855673177277472,3,0.0004472938720739526,1,0.0001490979573579842,3,0.0004472938720739526,27,0.004025644848665574,37,0.005516624422245415,4,0.0005963918294319368
48,Democrat,0.9997,0.06,3885,3885.0,16,0.004118404118404118,10,0.002574002574002574,6,0.0015444015444015444,7,0.0018018018018018018,2,0.0005148005148005148,17,0.004375804375804376,10,0.002574002574002574,0,0.0
49,Democrat,0.9981,0.031,1076,1076.0,4,0.0037174721189591076,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.00929368029739777,0,0.0
50,Republican,1.0,0.079,8679,8679.0,2,0.00023044129508007836,35,0.004032722663901371,6,0.000691323885240235,0,0.0,1,0.00011522064754003918,56,0.0064523562622421935,3,0.0003456619426201175,27,0.0031109574835810577
51,Democrat,-0.9799,0.187,175,175.0,0,0.0,1,0.005714285714285714,2,0.011428571428571429,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,Democrat,0.9998,0.087,2911,2911.0,20,0.006870491240123669,5,0.0017176228100309172,3,0.0010305736860185502,23,0.00790106492614222,0,0.0,1,0.00034352456200618345,3,0.0010305736860185502,0,0.0
53,Democrat,0.9575,0.062,187,187.0,0,0.0,3,0.016042780748663103,10,0.053475935828877004,2,0.0106951871657754,0,0.0,1,0.0053475935828877,0,0.0,0,0.0
54,Democrat,-0.9114,0.121,240,240.0,0,0.0,2,0.008333333333333333,5,0.020833333333333332,1,0.004166666666666667,0,0.0,0,0.0,0,0.0,3,0.0125
55,Democrat,0.999,0.126,697,697.0,5,0.007173601147776184,3,0.00430416068866571,2,0.0028694404591104736,0,0.0,0,0.0,9,0.01291248206599713,7,0.010043041606886656,0,0.0
56,Democrat,0.9999,0.055,2422,2422.0,13,0.0053674649050371595,12,0.00495458298926507,9,0.0037159372419488025,9,0.0037159372419488025,5,0.002064409578860446,6,0.002477291494632535,10,0.004128819157720892,0,0.0
57,Democrat,-0.9988,0.158,1897,1897.0,50,0.02635740643120717,3,0.0015814443858724301,1,0.0005271481286241434,2,0.0010542962572482868,1,0.0005271481286241434,10,0.005271481286241434,0,0.0,0,0.0
58,Democrat,0.9999,0.065,4231,4231.0,8,0.0018908059560387616,9,0.002127156700543607,7,0.0016544552115339162,3,0.0007090522335145356,3,0.0007090522335145356,18,0.004254313401087214,19,0.0044906641455920585,0,0.0
